ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
psc130514 08:40:55.601 +44:47:30.27 08:40:55.742 +44:47:28.53 -999 -999 -999 -999 0.105 55612.5 0.1 0.9658 0.155 -0.1983 0.0287 18.4755 0.0441 9.935 57.194 -0.006 1.0 1.0 1.0 1.0
psc130755 12:14:55.582 +46:34:33.25 12:14:55.601 +46:34:33.38 -999 -999 -999 -999 0.293 55595.9 1.1 -0.0769 0.4135 -0.0888 0.0344 21.346 0.0395 9.265 0.374 0.012 1.0 1.0 1.0 1.0
psc130862 12:16:00.416 +47:55:13.47 12:16:00.954 +47:55:07.25 -999 -999 -999 -999 0.33 55607.2 0.4 0.6691 0.3768 -0.0818 0.0322 21.7694 0.0468 9.678 0.567 0.017 1.0 1.0 1.0 1.0
psc140152 10:49:34.243 +57:36:56.63 10:49:34.175 +57:36:56.24 0.80485 1.638 4.53 MMT 0.21 55639.3 0.1 1.4222 0.1497 -0.0842 0.0258 20.2066 0.0307 8.767 0.415 0.008 1.0 1.0 1.0 1.0
psc140181 12:14:57.098 +46:50:42.16 12:14:57.041 +46:50:40.96 0.10217 0.889 14.77 MMT 0.101 55642.6 0.1 0.7922 0.1014 0.0227 0.0257 18.9879 0.0338 10.359 0.062 -0.008 1.0 1.0 1.0 1.0
psc150254 12:12:50.655 +47:08:44.74 12:12:50.682 +47:08:44.47 -999 -999 -999 -999 0.27 55678.3 0.2 -0.0516 0.1676 0.0789 0.0267 21.5425 0.0335 9.355 0.308 0.011 1.0 1.0 1.0 1.0
psc150457 10:45:24.779 +57:13:04.40 10:45:24.877 +57:13:06.41 0.30323 1.957 11.41 MMT 0.31 55686.2 0.2 0.5116 0.2772 -0.0808 0.0282 21.3534 0.0361 11.454 0.02 0.013 1.0 1.0 1.0 1.0
psc150509 16:04:56.287 +54:52:41.30 16:04:56.122 +54:52:40.55 0.29277 1.779 9.91 MMT 0.3 55681.9 0.3 0.1869 0.3524 -0.1427 0.0286 21.0935 0.0419 10.78 0.004 0.012 1.0 1.0 1.0 1.0
psc151034 12:20:33.008 +46:39:58.13 12:20:32.898 +46:40:03.85 -999 4.797 -99.0 SDSS 0.13 55686.6 0.1 0.3576 0.0867 -0.1354 0.0249 19.1283 0.0314 11.64 57.533 -0.002 1.0 1.0 1.0 1.0
psc160039 12:19:54.009 +48:08:24.99 12:19:53.426 +48:08:29.98 -999 -999 -999 -999 0.27 55700.3 0.3 -1.1227 0.2486 -0.0619 0.0276 21.231 0.033 -999.0 -999.0 0.011 1.0 1.0 1.0 1.0
psc160046 16:08:30.468 +53:41:07.17 16:08:30.180 +53:41:08.14 0.10677 2.265 30.64 MMT 0.107 55710.1 0.2 -2.5788 0.1878 0.2413 0.035 20.4227 0.0414 11.114 0.072 -0.006 1.0 1.0 1.0 1.0
